Name of Clinic,Address,Email,Phone,Services
Allsports Podiatry Wavell Heights,1A/159 Hamilton Road Wavell Heights QLD 4012,vwavellheights@allsportspodiatry.com.au,1800366837,Sports Podiatry; Video Gait Assessment; Biomechanical Assessments; 3D Printed Orthotics; Custom Sports Orthotics; Paediatric Assessments; Nail Surgery and General Podiatry Care; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Resources
Wellington Point,8/405-409 Main Rd Wellington Point QLD 4160,vwellingtonpoint@myfootdr.com.au,1800366837,Sports Podiatry; Video Gait Assessment; Biomechanical Assessments; 3D Printed Orthotics; Custom Sports Orthotics; Paediatric Assessments; Nail Surgery and General Podiatry Care; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Resources
My FootDr Cairns,"Shop 2, 494 Mulgrave Road Earlville QLD 4870",vcairns@myfootdr.com.au,1800366837,"Custom foot orthoticsWe design, make & fit our orthotics using the latest computerised scanning and milling system. Whether you call them orthotics or arch supports, our goal is to make them quickly, so you can get back to enjoying your active lifestyle. If you have sore painful heels in the morning when you get out of bed, or throughout the day, our custom-made orthotics can help.; We design, make & fit our orthotics using the latest computerised scanning and milling system. Whether you call them orthotics or arch supports, our goal is to make them quickly, so you can get back to enjoying your active lifestyle. If you have sore painful heels in the morning when you get out of bed, or throughout the day, our custom-made orthotics can help.; Shockwave therapy; Ultrasound; Acupuncture; Wax foot baths; Foot mobilisation; Laser treatment for fungal toenails; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Footwear; Paraffin Wax Bath Treatment; Resources"
My FootDr Thuringowa,"Shop 129, Willows Shopping Centre Cnr Thuringowa Dr & Hervey Range Rd Thuringowa Central QLD 4817",vwillows@myfootdr.com.au,1800366837,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Footwear; Cryotherapy For Plantar Warts; Resources
Back In Motion Podiatry Bayswater,Shop 9a 348 Mountain Hwy Wantirna VIC 3152,vbayswater.podiatry@backinmotion.com.au,1800366837,Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); Seniors Footcare; Cosmetic Nail Restoration; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts
My FootDr Pakenham,54 James St Pakenham VIC 3810,vpakenham@myfootdr.com.au,1800366837,Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; Resources
BIM Podiatry Balcatta,"Lot 2, 386 Wanneroo Road Westminster WA 6061",NA,1800366837,NA
Back In Motion Podiatry Bundall,"1 Allawah St (cnr Bundall Rd) Bundall, Gold Coast QLD 4217",vbundall.podiatry@backinmotion.com.au,1800366837,Surgical Podiatry; Supramalleolar Orthotics (SMOs); Clinical Podiatry; Custom Foot Orthotics; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); Seniors Footcare; Shockwave Therapy; Ankle-Foot Orthoses
My FootDr Varsity Lakes (formerly Robina),Shop 1 190 Varsity Parade Varsity Lakes QLD 4227,vvarsitylakes@myfootdr.com.au,1800366837,Surgical Podiatry; Clinical Podiatry; Custom Foot Orthotics; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Seniors Footcare; Shockwave Therapy
My FootDr Warragul,1/65 Victoria St Warragul VIC 3820,vwarragul@myfootdr.com.au,1800366837,Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Footwear; Paraffin Wax Bath Treatment; SWIFT Microwave Wart Therapy; Resources
My FootDr Gladstone,1/146 Auckland St Gladstone Central QLD 4680,vgladstone@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Cryotherapy for plantar warts; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cryotherapy For Plantar Warts; Resources
My FootDr Currambine,Suite 12/13 Hobsons Gate Currambine WA 6028,vcurrambine@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Fungal nail infection laser treatment; Diabetic footcare; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Cryotherapy for plantar warts; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cryotherapy For Plantar Warts; Resources
My FootDr Bathurst,41 Keppel St Bathurst NSW 2795,vbathurst@myfootdr.com.au,1800366837,Clinical Podiatry; Custom Foot Orthotics; Video Gait Analysis; Diabetic Footcare; National Disability Insurance Scheme; CAM Walker (Moon Boot); Seniors Footcare; Health Funds; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); Resources
My FootDr Blacktown,Suite 113/30 Campbell Street Blacktown NSW 2148,vblacktown@myfootdr.com.au,1800366837,Clinical Podiatry; Custom Foot Orthotics; Video Gait Analysis; Diabetic Footcare; National Disability Insurance Scheme; CAM Walker (Moon Boot); Seniors Footcare; Health Funds; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); Resources
My FootDr Burwood,6 Railway Parade Burwood NSW 2134,vburwood@myfootdr.com.au,1800366837,General foot care; Diabetes care; Custom foot orthotics; Paediatric care; Nail surgery; Footwear advice; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Footwear; Resources
My FootDr Casula,6 Holston Street Casula NSW 2170,vcasula@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Shockwave therapy; Cryotherapy for plantar warts; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Resources
My FootDr Cessnock,298 Maitland Rd Cessnock NSW 2325,vcessnock@myfootdr.com.au,1800366837,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS)
My FootDr Charlestown,190 Pacific Highway Charlestown NSW 2290,vcharlestown@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; 3D Scans; Video gait analysis; Diabetic foot care; NDIS services; Seniors’ foot care; Shockwave therapy; Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); Shockwave Therapy; Footwear
My FootDr Dubbo,"Shop 18, Orana Mall Shopping Centre 56 Windsor Parade Dubbo NSW 2830",vdubbo@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Laser treatment for fungal nail infections; Diabetic foot care; Custom footwear; NDIS services; CAM walkers (moon boots); Seniors’ foot care; Shockwave therapy; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Footwear; Resources
My FootDr Mittagong,48 Bowral Road Mittagong NSW 2575,vmittagong@myfootdr.com.au,1800366837,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Cryotherapy For Plantar Warts; Resources
My FootDr Moorebank,2 Stockton Avenue Moorebank NSW 2170,vmoorebank@myfootdr.com.au,1800366837,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Resources
My FootDr Tweed Heads,1/107 Minjungbal Drive Tweed Heads South NSW 2485,vtweedheads@myfootdr.com.au,1800366837,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Footwear; Paraffin Wax Bath Treatment; Resources; Ankle-Foot Orthoses
My FootDr Palmerston,"Shop 15, Oasis Shopping Village 15 Temple Tce Palmerston NT 0830",vpalmerston@myfootdr.com.au,1800366837,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Footwear; Cryotherapy For Plantar Warts; Resources
My FootDr Christies Beach,141 Beach Rd Christies Beach SA 5165,vchristies.beach@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; Custom footwear; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Shockwave therapy; Footwear; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Resources
My FootDr Unley,98 Unley Rd Unley SA 5061,vunley@myfootdr.com.au,1800366837,"Laser therapy for Nail Fungal Infections; Heel pain and heel spur solutions are a speciality; Shockwave therapy; Video and computerised walking analysis; Custom made softorthotics; Postural assessment for those with hip, knee and back pain caused by the alignment of the feet.; General foot care including pain-free treatment of corns, calluses, warts and ingrown toe nails.; Enhanced Primary Care Treatment plans by Doctors referral are accepted.; DVA Claims are accepted by appropriate doctor referral; Surgical ingrown toenail procedures; NDIS.; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Resources"
My FootDr Aldinga,Aldinga Medical Centre 89 Rowley Road Aldinga Beach SA 5173,valdinga@myfootdr.com.au,1800366837,Clinical Podiatry; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetic Footcare; National Disability Insurance Scheme; CAM Walker (Moon Boot); Seniors Footcare; Shockwave Therapy; Footwear; Health Funds; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); Resources
My FootDr Woodville,Shop 1 924 Port Road Woodville West SA 5011,vwoodville@myfootdr.com.au,1800366837,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS)
My FootDr Blackwood,236 Main Road Blackwood SA 5051,vblackwood@myfootdr.com.au,1800366837,Clinical Podiatry; Custom Foot Orthotics; Video Gait Analysis; Diabetic Footcare; Custom Footwear; National Disability Insurance Scheme; CAM Walker (Moon Boot); Seniors Footcare; Footwear; Supramalleolar Orthotics (SMOs); Health Funds; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); Resources; Ankle-Foot Orthoses
My FootDr Hove,372 Brighton Rd Hove SA 5048,vhove@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Supramelleolar orthotics (SMO’s); Custom footwear; Ankle-foot Orthoses (AFO’s); Supramalleolar Orthotics (SMOs); Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Resources; Ankle-Foot Orthoses
My FootDr Modbury,2/959 North East Rd Modbury SA 5092,vmodbury@myfootdr.com.au,1800366837,Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Footwear; Resources; Richie Brace
Semaphore (formerly Queenstown),160 Semaphore Road Semaphore SA 5019,vsemaphore@myfootdr.com.au,1800366837,General foot care for skin and nails; Ingrown toenail treatment; Diabetic foot care; Children’s foot care; Custom foot orthotics; Video gait analysis; Shockwave therapy; Footwear advice; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; Shockwave Therapy
My FootDr Stirling,Shop 10 Stirling Tiers 55 Mt Barker Road Stirling SA 5152,vstirling@myfootdr.com.au,1800366837,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); Resources
My FootDr Narellan,"Suite 407, 326 Camden Valley Way Narellan NSW 2567",vnarellan@myfootdr.com.au,1800366837,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Resources
My FootDr Orange,"Shop V5-7, Orange City Centre 190 Anson St Orange NSW 2800",vorange@myfootdr.com.au,1800366837,"We provide our patients with innovative and world-class podiatry solutions, so they’re not limited by foot pain and can enjoy a happier life.; We work with our patients to tailor a treatment that is individualised to their needs.; We always provide our patients with quality care and ensure each patient is treated with respect and attention.; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Footwear; Cryotherapy For Plantar Warts; Resources"
